rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope,google_news_count
김인호,59.34,10000.0,700.0,59.77,2.96,9
비트코인,58.97,5000.0,200.0,420.17,3.51,98
케이뱅크 공모주,51.51,2000.0,400.0,281.55,9.95,8
하이닉스 주가,48.87,5000.0,300.0,232.43,5.25,46
엔화,37.6,100.0,100.0,439.42,1.37,23
주식,33.25,100.0,100.0,333.26,4.27,100
에어로케이,33.12,2000.0,300.0,270.45,-0.43,4
에스팀,26.08,1000.0,300.0,101.95,6.53,22
신영자,25.95,1000.0,300.0,104.36,6.31,5
액스비스,25.6,100.0,100.0,155.5,8.88,23
