rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope,google_news_count
엘에이 fc 대 인터 마이애미,56.44,200000.0,1000.0,0.03,0.0,8
mls,48.01,20000.0,1000.0,161.02,8.33,100
챔피언스리그,46.42,1000.0,1000.0,306.88,-8.01,100
인테르,41.83,100.0,300.0,343.57,0.49,23
노시환,41.62,5000.0,1000.0,105.65,10.67,75
토트넘 대 아스널,38.92,100000.0,1000.0,0.0,0.0,1
레알 에스파냐 대 엘에이 fc,38.92,100000.0,1000.0,0.0,0.0,11
psg 대 메스,30.17,50000.0,1000.0,0.0,0.0,1
울브스 대 아스널,30.17,50000.0,1000.0,0.0,0.0,3
맨 시티 대 뉴캐슬,24.97,20000.0,1000.0,0.49,0.0,2
