run_id,keyword_id,category,keyword,view_count,like_count,comment_count
1,1,기후,날씨,16436,537,35
1,2,기후,울산날씨,7198,0,0
1,3,기후,강풍 경보,109882,429,33
1,4,기후,부산날씨,99690,1275,140
1,5,기후,날씨예보,50757,663,83
1,6,기후,내일 날씨,23975,445,25
1,7,기후,일기예보,34899,425,82
1,8,기후,대구 날씨,7394,84,9
2,9,엔터테인먼트,유튜브 문제가 발생했습니다,84583,841,576
2,10,엔터테인먼트,문상민,2376071,138872,1200
2,11,엔터테인먼트,파반느,264003,1391,155
2,12,엔터테인먼트,부산찬란한 너의 계절에,45041121,509178,7400
2,13,엔터테인먼트,김태리,180398,2653,174
2,14,엔터테인먼트,아너 그녀들의 법정,57251,365,32
2,15,엔터테인먼트,윤영경,42399,148,40
2,16,엔터테인먼트,정동원,32779317,263418,14858
2,17,엔터테인먼트,금잔디,540626,5756,2186
2,18,엔터테인먼트,홍자,78413,2645,1240
3,19,비즈니스 및 금융,김인호,338953,2978,324
3,20,비즈니스 및 금융,비트코인,16235,647,48
3,21,비즈니스 및 금융,케이뱅크 공모주,98289,3058,143
3,22,비즈니스 및 금융,하이닉스 주가,13473,1259,17
3,23,비즈니스 및 금융,엔화,82185,955,205
3,24,비즈니스 및 금융,주식,260775,4890,1073
3,25,비즈니스 및 금융,에어로케이,18153,287,102
3,26,비즈니스 및 금융,에스팀,23956,1238,136
3,27,비즈니스 및 금융,신영자,255643,2289,281
3,28,비즈니스 및 금융,액스비스,36676,1703,109
4,29,스포츠,엘에이 fc 대 인터 마이애미,4886160,49954,6604
4,30,스포츠,mls,2457804,33728,3346
4,31,스포츠,챔피언스리그,241730,2312,586
4,32,스포츠,인테르,237278,3103,883
4,33,스포츠,토트넘 대 아스널,2407472,17553,5227
4,34,스포츠,노시환,450254,8667,3959
4,35,스포츠,레알 에스파냐 대 엘에이 fc,600175,12032,677
4,36,스포츠,psg 대 메스,1172947,7068,2579
4,37,스포츠,울브스 대 아스널,768348,4794,1391
4,38,스포츠,맨 시티 대 뉴캐슬,40002035,330457,10667
