run_id,keyword_id,view_count,like_count,comment_count
1,1,16436,537,35
1,2,7198,0,0
1,3,109882,429,33
1,4,99690,1275,140
1,5,50757,663,83
1,6,23975,445,25
1,7,34899,425,82
1,8,7394,84,9
2,9,84583,841,576
2,10,2376071,138872,1200
2,11,264003,1391,155
2,12,45041121,509178,7400
2,13,180398,2653,174
2,14,57251,365,32
2,15,42399,148,40
2,16,32779317,263418,14858
2,17,540626,5756,2186
2,18,78413,2645,1240
3,19,338953,2978,324
3,20,16235,647,48
3,21,98289,3058,143
3,22,13473,1259,17
3,23,82185,955,205
3,24,260775,4890,1073
3,25,18153,287,102
3,26,23956,1238,136
3,27,255643,2289,281
3,28,36676,1703,109
4,29,4886160,49954,6604
4,30,2457804,33728,3346
4,31,241730,2312,586
4,32,237278,3103,883
4,33,2407472,17553,5227
4,34,450254,8667,3959
4,35,600175,12032,677
4,36,1172947,7068,2579
4,37,768348,4794,1391
4,38,40002035,330457,10667
