keyword,avg_view_count,avg_like_count,avg_comment_count,engagement_rate,temperature_status
문상민,792023.7,46290.7,400.0,5.9,🔥 펄펄 끓는 찐팬
홍자,26137.7,881.7,413.3,4.95,🔥 펄펄 끓는 찐팬
유튜브 문제가 발생했습니다,28194.3,280.3,192.0,1.68,♨️ 훈훈한 호감
김태리,60132.7,884.3,58.0,1.57,♨️ 훈훈한 호감
금잔디,180208.7,1918.7,728.7,1.47,🍃 가벼운 관심
부산찬란한 너의 계절에,15013707.0,169726.0,2466.7,1.15,🍃 가벼운 관심
정동원,1365804.9,10975.8,619.1,0.85,🍃 가벼운 관심
아너 그녀들의 법정,19083.7,121.7,10.7,0.69,🍃 가벼운 관심
파반느,88001.0,463.7,51.7,0.59,🍃 가벼운 관심
윤영경,14133.0,49.3,13.3,0.44,🧊 조회수 위주
