rank_title,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope,naver_daily_ratio
김지호,5000.0,900.0,13.46,1.03,"[{'period': '2026-02-17', 'ratio': 0.43903}, {'period': '2026-02-18', 'ratio': 0.6031}, {'period': '2026-02-19', 'ratio': 0.56273}, {'period': '2026-02-20', 'ratio': 0.614}, {'period': '2026-02-21', 'ratio': 0.54863}, {'period': '2026-02-22', 'ratio': 0.63259}, {'period': '2026-02-23', 'ratio': 10.05864}]"
파반느,10000.0,500.0,231.73,11.77,"[{'period': '2026-02-17', 'ratio': 5.57987}, {'period': '2026-02-18', 'ratio': 5.37413}, {'period': '2026-02-19', 'ratio': 4.34673}, {'period': '2026-02-20', 'ratio': 25.97981}, {'period': '2026-02-21', 'ratio': 68.19868}, {'period': '2026-02-22', 'ratio': 73.4927}, {'period': '2026-02-23', 'ratio': 48.76205}]"
청년문화예술패스,2000.0,400.0,20.2,-0.05,"[{'period': '2026-02-17', 'ratio': 3.01041}, {'period': '2026-02-18', 'ratio': 3.3078}, {'period': '2026-02-19', 'ratio': 3.09053}, {'period': '2026-02-20', 'ratio': 2.55984}, {'period': '2026-02-21', 'ratio': 2.33488}, {'period': '2026-02-22', 'ratio': 2.73609}, {'period': '2026-02-23', 'ratio': 3.1591}]"
윤영경,5000.0,900.0,100.16,10.72,"[{'period': '2026-02-17', 'ratio': 0.01345}, {'period': '2026-02-18', 'ratio': 0.01153}, {'period': '2026-02-19', 'ratio': 0.0205}, {'period': '2026-02-20', 'ratio': 0.02499}, {'period': '2026-02-21', 'ratio': 0.01345}, {'period': '2026-02-22', 'ratio': 0.07242}, {'period': '2026-02-23', 'ratio': 100}]"
sydney sweeney,2000.0,1000.0,0.17,-0.01,"[{'period': '2026-02-17', 'ratio': 0.02884}, {'period': '2026-02-18', 'ratio': 0.06921}, {'period': '2026-02-19', 'ratio': 0.02371}, {'period': '2026-02-20', 'ratio': 0.01538}, {'period': '2026-02-21', 'ratio': 0.01538}, {'period': '2026-02-22', 'ratio': 0.01217}, {'period': '2026-02-23', 'ratio': 0.00576}]"
윤유선,1000.0,1000.0,14.76,-0.18,"[{'period': '2026-02-17', 'ratio': 1.38638}, {'period': '2026-02-18', 'ratio': 0.75714}, {'period': '2026-02-19', 'ratio': 6.2249}, {'period': '2026-02-20', 'ratio': 1.9043}, {'period': '2026-02-21', 'ratio': 2.64131}, {'period': '2026-02-22', 'ratio': 1.26203}, {'period': '2026-02-23', 'ratio': 0.5866}]"
에반게리온,1000.0,200.0,6.24,0.03,"[{'period': '2026-02-17', 'ratio': 0.82582}, {'period': '2026-02-18', 'ratio': 0.81951}, {'period': '2026-02-19', 'ratio': 0.8957}, {'period': '2026-02-20', 'ratio': 0.8203}, {'period': '2026-02-21', 'ratio': 0.86806}, {'period': '2026-02-22', 'ratio': 0.9936}, {'period': '2026-02-23', 'ratio': 1.01965}]"
찬란한 너의 계절에,5000.0,400.0,260.69,8.24,"[{'period': '2026-02-17', 'ratio': 4.15757}, {'period': '2026-02-18', 'ratio': 3.65228}, {'period': '2026-02-19', 'ratio': 5.29091}, {'period': '2026-02-20', 'ratio': 79.46913}, {'period': '2026-02-21', 'ratio': 100}, {'period': '2026-02-22', 'ratio': 48.50486}, {'period': '2026-02-23', 'ratio': 19.62016}]"
김규리,500.0,600.0,3.54,-0.03,"[{'period': '2026-02-17', 'ratio': 0.78872}, {'period': '2026-02-18', 'ratio': 0.4816}, {'period': '2026-02-19', 'ratio': 0.41646}, {'period': '2026-02-20', 'ratio': 0.43344}, {'period': '2026-02-21', 'ratio': 0.44804}, {'period': '2026-02-22', 'ratio': 0.51239}, {'period': '2026-02-23', 'ratio': 0.45949}]"
유튜브 문제가 발생했습니다,100000.0,1000.0,15.46,-1.1,"[{'period': '2026-02-17', 'ratio': 0.00236}, {'period': '2026-02-18', 'ratio': 15.38995}, {'period': '2026-02-19', 'ratio': 0.03829}, {'period': '2026-02-20', 'ratio': 0.01579}, {'period': '2026-02-21', 'ratio': 0.00631}, {'period': '2026-02-22', 'ratio': 0.00236}, {'period': '2026-02-23', 'ratio': 0.00473}]"
