rank_title,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope,naver_daily_ratio
토트넘 대 아스널,100000.0,1000.0,0.0,0.0,[]
에버턴 대 맨유,20000.0,1000.0,0.0,0.0,[]
pakistan vs england,2000.0,1000.0,0.0,0.0,[]
챔피언스리그,1000.0,1000.0,306.88,-8.01,"[{'period': '2026-02-17', 'ratio': 31.31917}, {'period': '2026-02-18', 'ratio': 100}, {'period': '2026-02-19', 'ratio': 68.83174}, {'period': '2026-02-20', 'ratio': 37.99888}, {'period': '2026-02-21', 'ratio': 22.6048}, {'period': '2026-02-22', 'ratio': 22.40357}, {'period': '2026-02-23', 'ratio': 23.71716}]"
엘에이 fc 대 인터 마이애미,200000.0,1000.0,0.03,0.0,"[{'period': '2026-02-22', 'ratio': 0.02794}]"
atlético madrid vs club brugge,500.0,1000.0,0.0,0.0,[]
at마드리드,200.0,1000.0,1.35,-0.01,"[{'period': '2026-02-17', 'ratio': 0.10437}, {'period': '2026-02-18', 'ratio': 0.27165}, {'period': '2026-02-19', 'ratio': 0.34743}, {'period': '2026-02-20', 'ratio': 0.12367}, {'period': '2026-02-21', 'ratio': 0.14869}, {'period': '2026-02-22', 'ratio': 0.20374}, {'period': '2026-02-23', 'ratio': 0.14798}]"
psg 대 메스,50000.0,1000.0,0.0,0.0,[]
mlb,100.0,300.0,20.16,0.24,"[{'period': '2026-02-17', 'ratio': 1.98951}, {'period': '2026-02-18', 'ratio': 2.7094}, {'period': '2026-02-19', 'ratio': 2.56285}, {'period': '2026-02-20', 'ratio': 2.63505}, {'period': '2026-02-21', 'ratio': 3.18623}, {'period': '2026-02-22', 'ratio': 3.76743}, {'period': '2026-02-23', 'ratio': 3.30919}]"
노시환,5000.0,1000.0,105.65,10.67,"[{'period': '2026-02-17', 'ratio': 0.65983}, {'period': '2026-02-18', 'ratio': 0.68128}, {'period': '2026-02-19', 'ratio': 0.76206}, {'period': '2026-02-20', 'ratio': 1.37757}, {'period': '2026-02-21', 'ratio': 1.3547}, {'period': '2026-02-22', 'ratio': 0.81425}, {'period': '2026-02-23', 'ratio': 100}]"
레알 에스파냐 대 엘에이 fc,100000.0,1000.0,0.0,0.0,[]
인테르,100.0,300.0,343.57,0.49,"[{'period': '2026-02-17', 'ratio': 24.75633}, {'period': '2026-02-18', 'ratio': 42.39766}, {'period': '2026-02-19', 'ratio': 100}, {'period': '2026-02-20', 'ratio': 43.56725}, {'period': '2026-02-21', 'ratio': 36.5497}, {'period': '2026-02-22', 'ratio': 52.53411}, {'period': '2026-02-23', 'ratio': 43.76218}]"
노팅엄 포레스트 대 리버풀,20000.0,1000.0,0.0,0.0,[]
바르셀로나 대 레반테,10000.0,1000.0,0.0,0.0,[]
맨 시티 대 뉴캐슬,20000.0,1000.0,0.49,0.0,"[{'period': '2026-02-22', 'ratio': 0.48732}]"
바이에른 대 아인트라흐트,20000.0,1000.0,0.0,0.0,[]
오사수나 대 레알 마드리드,20000.0,1000.0,0.0,0.0,[]
울브스 대 아스널,50000.0,1000.0,0.0,0.0,[]
mls,20000.0,1000.0,161.02,8.33,"[{'period': '2026-02-17', 'ratio': 3.10699}, {'period': '2026-02-18', 'ratio': 10.08029}, {'period': '2026-02-19', 'ratio': 7.52312}, {'period': '2026-02-20', 'ratio': 7.4533}, {'period': '2026-02-21', 'ratio': 14.15604}, {'period': '2026-02-22', 'ratio': 100}, {'period': '2026-02-23', 'ratio': 18.70308}]"
첼시 대 번리,10000.0,1000.0,0.0,0.0,[]
