rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
김인호,59.34,50.0,9.34,84.3,15.7,🔵 구글 강세 (Google 주도)
비트코인,58.97,19.82,39.14,33.6,66.4,🟢 네이버 강세 (Naver 주도)
케이뱅크 공모주,51.51,14.22,37.29,27.6,72.4,🟢 네이버 강세 (Naver 주도)
하이닉스 주가,48.87,22.32,26.55,45.7,54.3,⚖️ 플랫폼 균형 (Balanced)
엔화,37.6,0.0,37.6,0.0,100.0,🟢 네이버 강세 (Naver 주도)
주식,33.25,0.0,33.25,0.0,100.0,🟢 네이버 강세 (Naver 주도)
에어로케이,33.12,11.72,21.4,35.4,64.6,🟢 네이버 강세 (Naver 주도)
에스팀,26.08,8.18,17.9,31.4,68.6,🟢 네이버 강세 (Naver 주도)
신영자,25.95,8.18,17.77,31.5,68.5,🟢 네이버 강세 (Naver 주도)
액스비스,25.6,0.0,25.6,0.0,100.0,🟢 네이버 강세 (Naver 주도)
