rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
엘에이 fc 대 인터 마이애미,56.44,50.0,6.44,88.6,11.4,🔵 구글 강세 (Google 주도)
mls,48.01,18.48,29.52,38.5,61.5,🟢 네이버 강세 (Naver 주도)
챔피언스리그,46.42,15.16,31.26,32.7,67.3,🟢 네이버 강세 (Naver 주도)
인테르,41.83,0.0,41.83,0.0,100.0,🟢 네이버 강세 (Naver 주도)
노시환,41.62,15.86,25.76,38.1,61.9,🟢 네이버 강세 (Naver 주도)
토트넘 대 아스널,38.92,32.49,6.43,83.5,16.5,🔵 구글 강세 (Google 주도)
레알 에스파냐 대 엘에이 fc,38.92,32.49,6.43,83.5,16.5,🔵 구글 강세 (Google 주도)
psg 대 메스,30.17,23.74,6.43,78.7,21.3,🔵 구글 강세 (Google 주도)
울브스 대 아스널,30.17,23.74,6.43,78.7,21.3,🔵 구글 강세 (Google 주도)
맨 시티 대 뉴캐슬,24.97,18.48,6.48,74.0,26.0,🔵 구글 강세 (Google 주도)
