keyword,youtube_total_scale,video_title,view_count,like_count,comment_count
amd,1000000,AMD CEO Lisa Su: We want to place bets on who will be AI winners going forward,28993,310,180
amd,1000000,AMD의 최후의 선택 : AMD는 왜 메타(+OpenAI)에 지분 20%를 넘겨줄까?,3118,143,14
amd,1000000,AMD Hype Cycle Just Started‼️,20299,2312,328
amd 주가,371679,[LIVE] 증시 흔든 ‘AI 공포’ | AMD·메타 장기 파트너십 | 애플 신제품 공개 | 다이먼 “금융위기 이전과 유사 징후” | 트럼프 국정연설 | 미오라 | 02/24,9173,180,1
amd 주가,371679,9년 전 AMD에 1억을 투자했다면?,360757,1419,138
amd 주가,371679,"AMD 주가는 '여기'까지 올라갑니다! (주식 전망, 실적발표)",2642,24,15
하이닉스 주가,402664,"[SK하이닉스 주가전망] 💥방금, 발표했습니다. 결국 나올게 나왔습니다. 필수시청  #sk하이닉스 #sk하이닉스주가전망 #sk하이닉스주가",2634,465,0
하이닉스 주가,402664,"SK하이닉스 주가 전망. 역사적인 오늘, 심상치 않았죠? 내일 주가 감히 맞춰보겠습니다. 반드시 체크해보세요. 2월 24일 방송.",8165,477,14
하이닉스 주가,402664,SK하이닉스 주가전망. 긴급분석! 사상 첫 '100만 닉스' 달성! 맞춤형 HBM 단순 제조사 넘어 솔루션 기업 주가의 끝은 어디?,5792,496,0
김인호,86511,홍대 길거리 실물투표,71707,763,111
김인호,86511,생일선물로 이건 처음 받아보네;,145459,1276,117
김인호,86511,꽃뱀한테 제대로 물렸습니다..,116155,907,93
비트코인,1000000,"""2달 뒤 비트코인에 대한 충격 전망"", 무시무시한 가격 예측 나왔다  ( 정구태 대표 )",2404,171,6
비트코인,1000000,비트코인 트럼프 첫 국정연설 여파로 가격 변동성 커질까? 이란 미국 지정학 갈등 엔비디아 실적발표 시장구조법안까지 이슈 즐비! 이더리움 리플 솔라나,4710,619,8
비트코인,1000000,악재는 온 몸으로 받는 비트코인/6만 달러도 위험/기관 구조대가 와야 할텐데/4분기 기관 투자 현황은?/13F 심층 분석,7747,357,27
줌,1000000,ZOOM,6603231,62159,478
줌,1000000,Jessi 'ZOOM' Lyrics (제시 ZOOM 가사) (Color Coded Lyrics),6248366,55156,503
줌,1000000,줌(Zoom) 초간단 사용법 |  화상 회의에 참석하기.  회의 개설하기.  줌 초보자를 위한 설명서  |  온라인 화상 회의,264768,4815,186
케이뱅크 공모주,40387,[공모주] 케이뱅크 2일차 마감 / 증권사별 예상 수량,34206,1054,51
케이뱅크 공모주,40387,"케이뱅크 공모주 청약 마감(2일차) | 액스비스, 에스팀 1일차 | 기대 수익 비교",23559,987,27
케이뱅크 공모주,40387,"케이뱅크, IPO 9부 능선 넘어…최우형 거취는",2255,9,1
근로장려금,66989,"기초생활수급자 근로장려금 생계급여는? 수급자 근로장려금, 지원금",1635,91,3
근로장려금,66989,2026년 근로장려금 총정리! 신청대상.받는금액.신청기간.지급일.신청방법 한눈에 확인하세요,4936,132,11
근로장려금,66989,2025년 근로장려금 최대 330만원 지급!  신청방법과 자격요건,47726,1240,28
에스팀,1000000,"액스비스, 에스팀 공모주 청약 마감(2일차) | 배정수 체크하세요",9230,545,16
에스팀,1000000,"액스비스, 에스팀 결과 ㅣ 몇주 받을까요 ?",11353,577,54
에스팀,1000000,[공모주] 액스비스 & 에스팀 마감 / 예상 배정 수량은? / 가성비 구간은?,13911,554,31
한국투자증권,485838,[한국경제TV LIVE],86698586,58401,0
한국투자증권,485838,🎉한국투자증권 이벤트🎉연금! 무엇이든 물어보고 혜택받아요,5314,1874,2856
신영자,5894,롯데 신격호 회장 장녀 신영주 충격 별세...,6248,77,10
신영자,5894,"""유통업계의 대모"" 신영자 의장님을 추모하며",2235,29,1
신영자,5894,"롯데 유통의 거목, 잠들다 🌟"" 신영자 의장 별세. 85세 일기로 마친 '롯데의 장녀'이자 '유통 여제'의 파란만장한 일대기",77284,1274,20
ibm,1000000,Stocks Hit by AI-Disruption Fears as IBM Tumbles | Closing Bell,13694,127,16
