keyword,total_scale,sum_views,sum_likes,sum_comments
amd,1000000,52410,2765,522
amd 주가,371679,372572,1623,154
atlético madrid vs club brugge,1000000,67139,271,6
at마드리드,1000000,139974,1367,172
cuaca besok,654195,85096,532,144
eric dane,1000000,6439394,200965,12476
ibm,1000000,173806,1268,221
mlb,1000000,95558,1570,118
mls,1000000,2964110,36497,4163
pakistan vs england,1000000,1022952,12719,830
psg 대 메스,1327,1172934,7068,2579
sydney sweeney,1000000,18511283,217631,22954
thời tiết ngày mai,1000000,128350,1003,24
wind warning,1000000,54905,507,161
xg,1000000,25891513,553424,26751
天気,1000000,44262,364,35
강풍 경보,828846,109880,429,33
공주대,61128,795899,22313,432
근로장려금,66989,54297,1463,42
금잔디,441230,409940,4137,3241
김규리,162798,381271,7577,3338
김인호,86511,333321,2946,321
김지호,139506,10543,243,197
김태리,336633,170960,2564,175
날씨예보,1000000,50664,666,83
노보노디스크,132257,1428,17,5
노시환,59473,447169,8652,3953
노팅엄 포레스트 대 리버풀,5082,1789894,19556,2157
대구 날씨,1000000,13047,165,17
레알 에스파냐 대 엘에이 fc,251,878901,14087,968
맨 시티 대 뉴캐슬,29055,734813,5255,872
문상민,33176,2371728,138763,1196
바르셀로나 대 레반테,7417,539345,5615,807
바이에른 대 아인트라흐트,195,497237,3464,726
박진희,135937,98442,393,40
비트코인,1000000,14861,1147,41
신영자,5894,85767,1380,31
아너 그녀들의 법정,18175,48870,316,30
안소진,461731,7841513,60108,3206
액스비스,1100,34494,1676,101
에반게리온,458123,741642,7174,447
에버턴 대 맨유,16961,962510,8335,743
에스팀,1000000,34494,1676,101
에어로케이,157296,90530,208,81
엔화,475149,81218,954,205
엘에이 fc 대 인터 마이애미,746,4856324,49862,6594
오늘의 날씨,524377,50022,571,113
오사수나 대 레알 마드리드,4784,631393,5431,819
울브스 대 아스널,923,768329,4794,1391
울산날씨,1000000,2121,0,1
유튜브 문제가 발생했습니다,492194,155038,1564,975
윤영경,5930,81304,391,67
윤유선,55276,231579,1120,76
윤하,486285,2296524,32330,1458
인테르,1000000,176071,2605,655
일기예보,1000000,34822,429,82
장학재단,237349,257892,2757,808
정동원,469261,95061,2373,299
주식,1000000,247980,4645,1042
줌,1000000,13116365,122130,1167
차가원,484951,1466353,6571,2721
차지연,125133,471193,9123,2096
찬란한 너의 계절에,110861,116620,1316,87
챔피언스리그,1000000,334259,2429,530
청년문화예술패스,10969,14503,25,16
첼시 대 번리,164766,230234,1746,388
케이뱅크 공모주,40387,60020,2050,79
토트넘 대 아스널,171583,2407260,17550,5226
파반느,17942,263539,1316,153
하이닉스 주가,402664,16591,1438,14
한국투자증권,485838,86703900,60275,2856
홍자,224563,68036,2463,1031
