rank_title,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope,naver_daily_ratio
amd,500.0,400.0,6.95,-0.06,"[{'period': '2026-02-17', 'ratio': 0.72252}, {'period': '2026-02-18', 'ratio': 1.43242}, {'period': '2026-02-19', 'ratio': 1.32112}, {'period': '2026-02-20', 'ratio': 1.15791}, {'period': '2026-02-21', 'ratio': 0.91332}, {'period': '2026-02-22', 'ratio': 0.51114}, {'period': '2026-02-23', 'ratio': 0.88901}]"
amd 주가,200.0,300.0,6.84,-0.12,"[{'period': '2026-02-17', 'ratio': 0.71831}, {'period': '2026-02-18', 'ratio': 1.58394}, {'period': '2026-02-19', 'ratio': 1.46282}, {'period': '2026-02-20', 'ratio': 1.23414}, {'period': '2026-02-21', 'ratio': 0.86656}, {'period': '2026-02-22', 'ratio': 0.25393}, {'period': '2026-02-23', 'ratio': 0.72018}]"
하이닉스 주가,5000.0,300.0,232.43,5.25,"[{'period': '2026-02-17', 'ratio': 3.71317}, {'period': '2026-02-18', 'ratio': 4.09618}, {'period': '2026-02-19', 'ratio': 63.98825}, {'period': '2026-02-20', 'ratio': 76.73792}, {'period': '2026-02-21', 'ratio': 8.18255}, {'period': '2026-02-22', 'ratio': 4.96742}, {'period': '2026-02-23', 'ratio': 70.74352}]"
김인호,10000.0,700.0,59.77,2.96,"[{'period': '2026-02-17', 'ratio': 0.2226}, {'period': '2026-02-18', 'ratio': 0.17583}, {'period': '2026-02-19', 'ratio': 0.27965}, {'period': '2026-02-20', 'ratio': 0.25674}, {'period': '2026-02-21', 'ratio': 40.83607}, {'period': '2026-02-22', 'ratio': 10.62464}, {'period': '2026-02-23', 'ratio': 7.3721}]"
비트코인,5000.0,200.0,420.17,3.51,"[{'period': '2026-02-17', 'ratio': 47.28456}, {'period': '2026-02-18', 'ratio': 53.1092}, {'period': '2026-02-19', 'ratio': 73.48678}, {'period': '2026-02-20', 'ratio': 64.06915}, {'period': '2026-02-21', 'ratio': 44.71433}, {'period': '2026-02-22', 'ratio': 37.50871}, {'period': '2026-02-23', 'ratio': 100}]"
줌,1000.0,100.0,14.31,0.34,"[{'period': '2026-02-17', 'ratio': 0.65743}, {'period': '2026-02-18', 'ratio': 0.99439}, {'period': '2026-02-19', 'ratio': 2.80317}, {'period': '2026-02-20', 'ratio': 3.03915}, {'period': '2026-02-21', 'ratio': 1.33792}, {'period': '2026-02-22', 'ratio': 1.48939}, {'period': '2026-02-23', 'ratio': 3.98524}]"
케이뱅크 공모주,2000.0,400.0,281.55,9.95,"[{'period': '2026-02-17', 'ratio': 3.36073}, {'period': '2026-02-18', 'ratio': 6.77854}, {'period': '2026-02-19', 'ratio': 38.70443}, {'period': '2026-02-20', 'ratio': 100}, {'period': '2026-02-21', 'ratio': 19.71002}, {'period': '2026-02-22', 'ratio': 17.72782}, {'period': '2026-02-23', 'ratio': 95.26511}]"
근로장려금,200.0,100.0,70.99,1.43,"[{'period': '2026-02-17', 'ratio': 7.16817}, {'period': '2026-02-18', 'ratio': 6.64683}, {'period': '2026-02-19', 'ratio': 9.35123}, {'period': '2026-02-20', 'ratio': 10.05367}, {'period': '2026-02-21', 'ratio': 9.15037}, {'period': '2026-02-22', 'ratio': 10.7583}, {'period': '2026-02-23', 'ratio': 17.86502}]"
에스팀,1000.0,300.0,101.95,6.53,"[{'period': '2026-02-17', 'ratio': 1.39609}, {'period': '2026-02-18', 'ratio': 2.25329}, {'period': '2026-02-19', 'ratio': 8.83208}, {'period': '2026-02-20', 'ratio': 15.85099}, {'period': '2026-02-21', 'ratio': 6.29122}, {'period': '2026-02-22', 'ratio': 7.85305}, {'period': '2026-02-23', 'ratio': 59.47141}]"
한국투자증권,500.0,100.0,79.6,1.58,"[{'period': '2026-02-17', 'ratio': 3.87}, {'period': '2026-02-18', 'ratio': 5.20354}, {'period': '2026-02-19', 'ratio': 19.10746}, {'period': '2026-02-20', 'ratio': 17.17904}, {'period': '2026-02-21', 'ratio': 5.60525}, {'period': '2026-02-22', 'ratio': 6.19025}, {'period': '2026-02-23', 'ratio': 22.44185}]"
신영자,1000.0,300.0,104.36,6.31,"[{'period': '2026-02-17', 'ratio': 0.60498}, {'period': '2026-02-18', 'ratio': 0.51645}, {'period': '2026-02-19', 'ratio': 0.36705}, {'period': '2026-02-20', 'ratio': 0.249}, {'period': '2026-02-21', 'ratio': 46.39036}, {'period': '2026-02-22', 'ratio': 35.15751}, {'period': '2026-02-23', 'ratio': 21.07127}]"
ibm,200.0,200.0,4.58,-0.0,"[{'period': '2026-02-17', 'ratio': 0.58654}, {'period': '2026-02-18', 'ratio': 0.58469}, {'period': '2026-02-19', 'ratio': 0.77836}, {'period': '2026-02-20', 'ratio': 0.85768}, {'period': '2026-02-21', 'ratio': 0.61974}, {'period': '2026-02-22', 'ratio': 0.47771}, {'period': '2026-02-23', 'ratio': 0.67138}]"
에어로케이,2000.0,300.0,270.45,-0.43,"[{'period': '2026-02-17', 'ratio': 17.44687}, {'period': '2026-02-18', 'ratio': 22.59111}, {'period': '2026-02-19', 'ratio': 100}, {'period': '2026-02-20', 'ratio': 40.46591}, {'period': '2026-02-21', 'ratio': 27.21336}, {'period': '2026-02-22', 'ratio': 29.90261}, {'period': '2026-02-23', 'ratio': 32.8261}]"
노보노디스크,200.0,200.0,26.79,1.18,"[{'period': '2026-02-17', 'ratio': 1.77807}, {'period': '2026-02-18', 'ratio': 2.45499}, {'period': '2026-02-19', 'ratio': 2.8202}, {'period': '2026-02-20', 'ratio': 2.74642}, {'period': '2026-02-21', 'ratio': 1.98649}, {'period': '2026-02-22', 'ratio': 0.89088}, {'period': '2026-02-23', 'ratio': 14.11022}]"
장학재단,500.0,200.0,7.96,0.17,"[{'period': '2026-02-17', 'ratio': 0.39102}, {'period': '2026-02-18', 'ratio': 0.47402}, {'period': '2026-02-19', 'ratio': 1.86476}, {'period': '2026-02-20', 'ratio': 1.75225}, {'period': '2026-02-21', 'ratio': 0.61605}, {'period': '2026-02-22', 'ratio': 0.57916}, {'period': '2026-02-23', 'ratio': 2.28345}]"
엔화,100.0,100.0,439.42,1.37,"[{'period': '2026-02-17', 'ratio': 43.23686}, {'period': '2026-02-18', 'ratio': 47.48495}, {'period': '2026-02-19', 'ratio': 100}, {'period': '2026-02-20', 'ratio': 86.15469}, {'period': '2026-02-21', 'ratio': 42.656}, {'period': '2026-02-22', 'ratio': 39.2558}, {'period': '2026-02-23', 'ratio': 80.62698}]"
액스비스,100.0,100.0,155.5,8.88,"[{'period': '2026-02-17', 'ratio': 2.12924}, {'period': '2026-02-18', 'ratio': 3.44355}, {'period': '2026-02-19', 'ratio': 19.3522}, {'period': '2026-02-20', 'ratio': 25.43131}, {'period': '2026-02-21', 'ratio': 10.27517}, {'period': '2026-02-22', 'ratio': 13.5748}, {'period': '2026-02-23', 'ratio': 81.2928}]"
공주대,100.0,100.0,13.83,0.19,"[{'period': '2026-02-17', 'ratio': 1.11143}, {'period': '2026-02-18', 'ratio': 1.18426}, {'period': '2026-02-19', 'ratio': 2.34598}, {'period': '2026-02-20', 'ratio': 3.1089}, {'period': '2026-02-21', 'ratio': 1.58999}, {'period': '2026-02-22', 'ratio': 1.72351}, {'period': '2026-02-23', 'ratio': 2.76385}]"
