rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
강풍 경보,50.07,50.0,0.07,99.9,0.1,🔵 구글 강세 (Google 주도)
날씨예보,50.02,0.02,50.0,0.0,100.0,🟢 네이버 강세 (Naver 주도)
대구 날씨,47.56,0.07,47.49,0.1,99.9,🟢 네이버 강세 (Naver 주도)
울산날씨,27.1,9.0,18.1,33.2,66.8,🟢 네이버 강세 (Naver 주도)
일기예보,16.45,3.07,13.38,18.7,81.3,🟢 네이버 강세 (Naver 주도)
오늘의 날씨,9.01,0.0,9.01,0.0,100.0,🟢 네이버 강세 (Naver 주도)
wind warning,6.0,6.0,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
cuaca besok,3.16,3.16,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
天気,3.0,3.0,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
thời tiết ngày mai,0.33,0.33,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
