rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
유튜브 문제가 발생했습니다,57.46,50.0,7.46,87.0,13.0,🔵 구글 강세 (Google 주도)
문상민,51.1,1.1,50.0,2.2,97.8,🟢 네이버 강세 (Naver 주도)
파반느,47.07,10.57,36.5,22.5,77.5,🟢 네이버 강세 (Naver 주도)
찬란한 너의 계절에,44.49,7.24,37.25,16.3,83.7,🟢 네이버 강세 (Naver 주도)
김태리,43.23,6.19,37.04,14.3,85.7,🟢 네이버 강세 (Naver 주도)
아너 그녀들의 법정,38.08,2.37,35.71,6.2,93.8,🟢 네이버 강세 (Naver 주도)
윤영경,38.02,15.14,22.88,39.8,60.2,🟢 네이버 강세 (Naver 주도)
정동원,36.04,0.93,35.11,2.6,97.4,🟢 네이버 강세 (Naver 주도)
금잔디,32.82,15.04,17.79,45.8,54.2,⚖️ 플랫폼 균형 (Balanced)
홍자,29.8,15.04,14.77,50.5,49.5,⚖️ 플랫폼 균형 (Balanced)
